0, graphics card, 546.92
1, sweatshirt, 321.38
2, string lights, 71.95
3, face mask, 581.94
4, bacon, 941.20
5, Ikimono Tomo, 125.26
6, conditioner, 873.37
7, carpet, 242.68
8, microwave, 546.78
9, carpet, 574.68
10, brick, 584.38
11, lettuce, 477.47
12, HDMI cord, 468.71
13, YYR Inevitable, 915.92
14, body wash, 706.54
15, wallet, 994.66
16, wallet, 61.47
17, rice (50lbs), 163.15
18, UNPRLD Ignition, 448.86
19, flannel, 881.75
20, conditioner, 459.17
21, soy sauce, 356.10
22, air fryer, 587.04
23, beef short ribs, 743.21
24, hammer, 876.99
25, banana, 353.58
26, tomato, 329.40
27, deoderant, 588.45
28, toaster oven, 131.92
29, pot, 380.01
30, vinyl, 747.18
31, asphalt, 200.96
32, conditioner, 885.21
33, playstation, 176.61
34, pillow, 52.41
35, pot, 240.49
36, banana, 629.46
37, vinyl, 903.54
38, baseball cap, 448.98
39, SF Motive, 989.18
40, toaster oven, 730.19
41, baby food, 669.97
42, sesame oil, 396.26
43, tent, 946.14
44, grill, 382.06
45, sweatshirt, 38.22
46, satchel, 766.61
47, cowboy hat, 884.89
48, tent, 688.39
49, boots, 756.65
50, baseball cap, 122.60
51, SF Motive, 919.10
52, bait, 418.00
53, laptop, 201.78
54, CLYW Bonfire, 349.34
55, lettuce, 33.70
56, rice (50lbs), 215.87
57, headphones, 475.77
58, fruit loops, 390.01
59, tent, 256.69
60, marijuana, 321.14
61, tomato, 158.09
62, wallet, 261.97
63, SF Motive, 627.95
64, mouse, 159.25
65, pillow, 997.29
66, graphics card, 145.40
67, seeds, 457.99
68, pillow, 137.11
69, pork ribs, 919.99
70, carpet, 754.05
71, pillow, 648.24
72, UNPRLD Motif, 361.20
73, keyboard, 20.58
74, jeans, 192.31
75, Dunkin donut holes, 630.27
76, rice (50lbs), 818.32
77, jasmine tea, 447.72
78, baseball cap, 396.85
79, lettuce, 893.23
80, rice (50lbs), 800.30
81, banana, 864.85
82, playstation, 306.29
83, tomato, 21.17
84, brisket, 467.68
85, banana, 48.07
86, oven mitt, 751.33
87, apple, 46.16
88, cowboy hat, 948.28
89, keyboard, 847.21
90, carrot, 879.16
91, banana, 203.51
92, swivel chair, 645.16
93, banana, 261.60
94, iPhone, 228.66
95, axe, 513.17
96, baseball cap, 88.59
97, brisket, 894.30
98, air fryer, 201.96
99, solidworks, 323.32
